iter,train_psnr,val_psnr
1,5.515667915344238,
2,6.348080635070801,
3,6.324745178222656,
4,5.109767436981201,
5,4.999604225158691,
6,5.275928974151611,
7,5.276622772216797,
8,5.858640670776367,
9,5.171028137207031,
10,5.0042619705200195,
11,5.076529502868652,
12,4.717206954956055,
13,5.035683631896973,
14,5.67289924621582,
15,5.044631004333496,
16,4.946276664733887,
17,5.068183422088623,
18,5.4045209884643555,
19,5.295843124389648,
20,5.703729629516602,
21,5.325342178344727,
22,5.019524574279785,
23,5.141801357269287,
24,5.254952430725098,
25,5.142189979553223,
26,5.643613815307617,
27,5.244174003601074,
28,5.297723770141602,
29,5.140750885009766,
30,5.009444236755371,
31,5.378714084625244,
32,5.262635231018066,
33,5.226945877075195,
34,4.959647178649902,
35,5.079951763153076,
36,5.265277862548828,
37,5.293235778808594,
38,5.1773529052734375,
39,5.431775093078613,
40,4.964345455169678,
41,4.709885597229004,
42,5.637720108032227,
43,5.031938552856445,
44,5.2332963943481445,
45,5.7223968505859375,
46,6.376583576202393,
47,5.672459602355957,
48,5.2740020751953125,
49,5.058773994445801,
50,5.702404975891113,
51,5.1248459815979,
52,5.284420013427734,
53,5.029746055603027,
54,5.218886375427246,
55,5.0114641189575195,
56,5.204339027404785,
57,4.957398414611816,
58,5.469906330108643,
59,5.026211738586426,
60,5.151676177978516,
61,5.687760353088379,
62,5.440892219543457,
63,5.55389928817749,
64,5.208946228027344,
65,5.711474418640137,
66,5.626557350158691,
67,5.174224376678467,
68,4.989015102386475,
69,5.022363185882568,
70,4.780841827392578,
71,5.429567813873291,
72,5.103664398193359,
73,5.384864330291748,
74,5.2964324951171875,
75,5.259092330932617,
76,4.894412994384766,
77,5.561599254608154,
78,5.412786483764648,
79,5.5055437088012695,
80,5.662908554077148,
81,5.718513011932373,
82,5.477300643920898,
83,5.836696624755859,
84,6.340017318725586,
85,6.399268627166748,
86,6.930122375488281,
87,6.590915203094482,
88,6.410550117492676,
89,7.226100444793701,
90,7.269611835479736,
91,8.299174308776855,
92,7.998769760131836,
93,8.632080078125,
94,9.372274398803711,
95,9.791173934936523,
96,10.491433143615723,
97,11.358512878417969,
98,12.720190048217773,
99,13.064756393432617,
100,13.020347595214844,
101,11.953582763671875,
102,11.396991729736328,
103,10.679612159729004,
104,10.778095245361328,
105,12.349275588989258,
106,11.582670211791992,
107,11.931465148925781,
108,12.70135498046875,
109,12.746744155883789,
110,11.984838485717773,
111,12.525726318359375,
112,12.79773235321045,
113,12.649093627929688,
114,12.274250984191895,
115,11.700201034545898,
116,12.329599380493164,
117,11.700615882873535,
118,13.139419555664062,
119,12.135929107666016,
120,12.437433242797852,
121,11.629192352294922,
122,12.879744529724121,
123,13.447881698608398,
124,11.438436508178711,
125,13.59421157836914,
126,12.772445678710938,
127,12.423538208007812,
128,11.586631774902344,
129,12.96824836730957,
130,12.891422271728516,
131,12.32020378112793,
132,12.676044464111328,
133,11.436184883117676,
134,13.439711570739746,
135,12.654356002807617,
136,13.705093383789062,
137,11.637491226196289,
138,12.938034057617188,
139,12.978490829467773,
140,11.15027904510498,
141,11.943589210510254,
142,11.834943771362305,
143,12.95064926147461,
144,11.465636253356934,
145,12.877777099609375,
146,11.527585983276367,
147,13.358880043029785,
148,13.487068176269531,
149,12.861587524414062,
150,13.129233360290527,
151,11.80374526977539,
152,12.713321685791016,
153,12.769950866699219,
154,12.474721908569336,
155,12.410690307617188,
156,12.508788108825684,
157,13.095937728881836,
158,12.810301780700684,
159,11.704415321350098,
160,12.989355087280273,
161,11.065362930297852,
162,11.557036399841309,
163,12.838699340820312,
164,11.631421089172363,
165,13.033143043518066,
166,12.674647331237793,
167,12.820381164550781,
168,12.617069244384766,
169,12.801070213317871,
170,11.582571029663086,
171,13.284200668334961,
172,12.814155578613281,
173,13.010334014892578,
174,13.049005508422852,
175,13.253023147583008,
176,12.835129737854004,
177,13.540786743164062,
178,12.83220386505127,
179,12.056608200073242,
180,13.447277069091797,
181,12.13183307647705,
182,11.832257270812988,
183,13.011493682861328,
184,11.599494934082031,
185,12.370302200317383,
186,13.165501594543457,
187,11.563451766967773,
188,12.136327743530273,
189,13.903684616088867,
190,13.061932563781738,
191,13.576271057128906,
192,12.413213729858398,
193,13.04063606262207,
194,12.121440887451172,
195,13.026077270507812,
196,12.188447952270508,
197,11.671207427978516,
198,13.760011672973633,
199,13.166035652160645,
200,12.890511512756348,12.905233383178711
201,12.07559585571289,
202,12.45486831665039,
203,13.942394256591797,
204,13.897756576538086,
205,12.987472534179688,
206,12.353815078735352,
207,11.552361488342285,
208,12.945877075195312,
209,12.560654640197754,
210,12.984465599060059,
211,11.66136646270752,
212,13.577837944030762,
213,12.341068267822266,
214,12.843706130981445,
215,11.641775131225586,
216,13.770814895629883,
217,13.029359817504883,
218,12.913298606872559,
219,13.816326141357422,
220,12.146306037902832,
221,12.499444961547852,
222,12.397595405578613,
223,12.934881210327148,
224,11.993955612182617,
225,12.430729866027832,
226,12.86905288696289,
227,11.705322265625,
228,12.995302200317383,
229,12.856281280517578,
230,11.601320266723633,
231,12.749141693115234,
232,12.971352577209473,
233,12.857083320617676,
234,13.008119583129883,
235,13.468018531799316,
236,13.919258117675781,
237,13.600530624389648,
238,13.171978950500488,
239,12.06027603149414,
240,12.091275215148926,
241,13.144866943359375,
242,11.493715286254883,
243,14.083003997802734,
244,12.231487274169922,
245,12.123138427734375,
246,13.367303848266602,
247,14.102298736572266,
248,11.664268493652344,
249,13.125109672546387,
250,13.477312088012695,
251,13.169658660888672,
252,11.635008811950684,
253,11.606180191040039,
254,13.549760818481445,
255,13.01800537109375,
256,11.53903865814209,
257,11.350753784179688,
258,13.007096290588379,
259,13.689068794250488,
260,13.25025463104248,
261,11.779929161071777,
262,12.693938255310059,
263,13.730292320251465,
264,13.520486831665039,
265,12.921380996704102,
266,12.878925323486328,
267,13.094677925109863,
268,13.034805297851562,
269,13.661307334899902,
270,11.564427375793457,
271,13.103814125061035,
272,12.965627670288086,
273,11.439127922058105,
274,10.948805809020996,
275,12.563224792480469,
276,12.941155433654785,
277,11.814956665039062,
278,12.072361946105957,
279,13.053428649902344,
280,12.891526222229004,
281,12.44661808013916,
282,11.696489334106445,
283,11.768397331237793,
284,12.850923538208008,
285,13.442301750183105,
286,12.025354385375977,
287,12.882604598999023,
288,12.961960792541504,
289,11.461128234863281,
290,12.732532501220703,
291,11.81496810913086,
292,13.332520484924316,
293,13.857842445373535,
294,13.045429229736328,
295,13.514519691467285,
296,13.963455200195312,
297,11.6446533203125,
298,11.567773818969727,
299,11.868553161621094,
300,12.762455940246582,
301,13.52603816986084,
302,13.587310791015625,
303,13.003780364990234,
304,11.589001655578613,
305,13.714676856994629,
306,12.973469734191895,
307,14.132377624511719,
308,12.732267379760742,
309,12.967306137084961,
310,12.968772888183594,
311,12.876900672912598,
312,14.03167724609375,
313,11.730295181274414,
314,12.683502197265625,
315,12.737564086914062,
316,13.650260925292969,
317,13.98314380645752,
318,12.054420471191406,
319,12.694673538208008,
320,13.251648902893066,
321,13.02591323852539,
322,13.207639694213867,
323,13.315085411071777,
324,13.364472389221191,
325,13.246621131896973,
326,12.405679702758789,
327,12.892193794250488,
328,13.100075721740723,
329,13.543899536132812,
330,13.26906967163086,
331,12.850738525390625,
332,13.331061363220215,
333,10.903348922729492,
334,13.20156192779541,
335,11.3043212890625,
336,13.751011848449707,
337,12.515905380249023,
338,12.93790340423584,
339,11.599713325500488,
340,12.896990776062012,
341,13.632922172546387,
342,13.581475257873535,
343,13.854416847229004,
344,13.091155052185059,
345,13.150147438049316,
346,13.316944122314453,
347,13.44253921508789,
348,13.028105735778809,
349,13.09463119506836,
